,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
0,sh.600690,海尔智家,10,16.98%,17.82%,15.48%,18.80%,20.78%,23.65%,20.53%,19.31%,27.50%,32.57%
1,sh.600036,招商银行,10,15.30%,15.16%,14.58%,16.13%,15.79%,15.90%,16.27%,17.09%,19.28%,22.21%
2,sz.002262,恩华药业,10,17.09%,17.64%,18.82%,20.17%,19.41%,17.35%,15.84%,18.08%,23.74%,23.21%
3,sh.600436,片仔癀,10,23.51%,27.68%,23.07%,23.60%,24.98%,21.16%,16.13%,15.39%,16.21%,21.45%
4,sh.600519,贵州茅台,10,32.41%,29.90%,31.41%,33.12%,34.46%,32.95%,24.44%,26.42%,31.96%,39.43%
5,sh.600438,通威股份,10,52.34%,24.13%,15.00%,16.31%,14.38%,16.09%,14.46%,13.71%,14.34%,16.34%
6,sh.600750,江中药业,9,15.10%,12.83%,12.74%,13.61%,15.25%,15.11%,15.28%,16.56%,12.74%,8.44%
7,sz.000568,泸州老窖,9,33.30%,31.13%,28.27%,25.53%,21.69%,19.52%,18.10%,14.74%,8.68%,33.92%
8,sh.600663,陆家嘴,9,4.92%,20.13%,20.90%,21.50%,22.03%,22.38%,19.87%,15.49%,14.05%,12.30%
9,sh.600183,生益科技,8,11.51%,24.62%,17.95%,19.02%,16.11%,19.42%,15.39%,12.01%,11.71%,13.16%
10,sh.600900,长江电力,8,11.63%,14.88%,16.35%,14.77%,16.31%,16.91%,18.93%,12.98%,14.40%,11.85%
11,sh.600298,安琪酵母,7,16.40%,20.54%,25.12%,19.34%,21.06%,23.88%,17.01%,9.56%,5.30%,5.41%
12,sz.002078,太阳纸业,7,13.43%,16.97%,12.72%,16.04%,19.54%,22.14%,14.14%,10.75%,8.92%,6.30%
13,sz.300122,智飞生物,6,35.99%,78.81%,47.18%,47.67%,40.78%,15.84%,1.30%,8.01%,6.11%,5.47%
14,sh.600845,宝信软件,6,23.06%,22.32%,18.13%,12.86%,11.74%,9.52%,8.33%,9.66%,15.20%,18.38%
15,sz.002318,久立特材,5,22.76%,16.04%,18.76%,15.17%,10.01%,4.86%,6.61%,5.05%,9.07%,12.83%
16,sh.600985,淮北矿业,5,23.11%,19.69%,17.21%,20.12%,37.83%,7.97%,7.51%,10.46%,9.61%,8.80%
17,sh.600039,四川路桥,5,32.53%,22.43%,15.83%,11.50%,8.65%,9.36%,11.43%,12.74%,12.79%,9.92%
18,sz.000708,中信特钢,5,20.57%,26.01%,22.48%,36.34%,12.10%,10.19%,8.11%,7.93%,8.30%,6.64%
19,sh.600395,盘江股份,5,23.80%,16.81%,12.00%,15.68%,14.52%,13.94%,3.32%,0.40%,4.63%,6.47%
20,sh.600323,瀚蓝环境,5,11.03%,13.32%,14.98%,14.73%,15.69%,12.85%,11.03%,10.43%,10.70%,9.93%
21,sh.600015,华夏银行,5,8.09%,8.13%,7.76%,9.04%,10.83%,12.38%,14.58%,17.23%,19.24%,19.37%
22,sh.601100,恒立液压,5,21.47%,32.63%,34.95%,25.59%,19.94%,10.39%,2.02%,1.84%,2.67%,6.57%
23,sh.600580,卧龙电驱,4,9.30%,12.48%,11.86%,14.78%,10.88%,12.35%,5.64%,9.43%,12.12%,11.87%
24,sh.600600,青岛啤酒,4,15.30%,14.47%,11.06%,9.97%,8.10%,7.55%,6.37%,10.76%,13.53%,14.90%
25,sz.000906,浙商中拓,4,20.46%,21.52%,17.65%,17.88%,11.34%,8.07%,7.63%,6.41%,6.92%,6.87%
26,sh.603606,东方电缆,4,16.24%,29.69%,33.71%,23.37%,10.35%,4.12%,6.24%,6.38%,10.05%,
27,sh.600007,中国国贸,3,12.55%,12.30%,10.59%,13.42%,11.57%,10.07%,11.65%,11.54%,10.64%,6.81%
28,sz.000987,越秀资本,3,9.63%,10.21%,22.80%,6.96%,3.03%,4.99%,8.44%,10.42%,12.32%,15.25%
29,sh.600378,昊华科技,3,15.12%,13.08%,10.47%,9.71%,18.54%,7.64%,3.66%,5.96%,11.07%,11.51%
30,sh.600655,豫园股份,3,10.94%,11.48%,11.21%,10.68%,15.19%,6.47%,5.17%,10.44%,14.25%,15.82%
31,sh.600295,鄂尔多斯,3,24.28%,37.83%,11.63%,12.33%,10.90%,6.90%,3.70%,3.44%,6.21%,11.66%
32,sz.002541,鸿路钢构,3,14.97%,17.36%,14.64%,11.95%,9.84%,5.33%,4.58%,7.24%,5.99%,7.64%
33,sh.600976,健民集团,3,24.38%,22.57%,11.74%,7.82%,7.29%,8.63%,6.48%,8.76%,12.31%,10.72%
34,sz.300354,东华测试,3,22.25%,17.36%,12.41%,8.20%,5.00%,1.32%,0.58%,2.43%,2.24%,5.10%
35,sh.601717,郑煤机,2,15.57%,13.98%,9.79%,8.78%,7.48%,2.78%,0.65%,0.45%,2.17%,9.28%
36,sh.600982,宁波能源,2,9.29%,12.90%,7.38%,4.06%,6.11%,3.90%,3.46%,3.86%,9.20%,15.51%
37,sh.600170,上海建工,2,3.33%,9.71%,9.61%,12.26%,9.57%,10.32%,9.29%,9.35%,11.46%,13.05%
38,sh.600582,天地科技,2,9.92%,8.75%,7.76%,6.74%,6.26%,6.50%,6.82%,10.23%,19.35%,15.48%
39,sz.002414,高德红外,2,6.87%,18.68%,25.38%,6.39%,3.96%,1.78%,2.47%,2.58%,2.82%,2.60%
40,sz.002026,山东威达,1,6.48%,13.27%,10.38%,-4.90%,6.44%,5.47%,5.36%,4.99%,8.69%,6.67%
41,sh.600372,中航电子,1,7.45%,7.31%,6.83%,7.22%,6.54%,8.28%,7.90%,8.83%,11.95%,13.14%
42,sz.000301,东方盛虹,1,1.73%,20.12%,2.00%,11.97%,10.24%,6.48%,4.40%,5.26%,7.40%,11.68%
43,sh.600210,紫江企业,1,10.91%,10.19%,11.05%,10.53%,9.91%,13.02%,5.37%,2.77%,4.43%,6.26%
44,sh.600268,国电南自,0,5.55%,10.04%,2.78%,2.38%,2.26%,1.79%,1.64%,1.55%,-15.74%,0.22%
45,sh.600510,黑牡丹,0,6.32%,7.25%,9.20%,9.61%,8.49%,6.43%,5.23%,4.81%,5.24%,8.95%
46,sz.002135,东南网架,0,4.76%,9.49%,6.26%,6.44%,4.31%,3.28%,2.04%,1.63%,3.52%,3.39%
47,sz.000507,珠海港,0,4.77%,8.30%,5.05%,5.51%,6.01%,5.25%,4.05%,3.16%,0.70%,4.24%
48,sh.600008,首创环保,0,11.53%,8.58%,6.22%,4.93%,4.79%,5.51%,6.69%,7.25%,9.89%,10.19%
49,sz.002060,粤水电,0,9.94%,8.64%,7.63%,7.45%,6.79%,5.64%,5.04%,4.25%,3.96%,3.69%
