,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
0,sh.600566,济川药业,10,21.23%,20.37%,18.42%,28.07%,34.24%,30.36%,29.54%,27.67%,30.14%,49.05%
1,sz.000651,格力电器,10,24.46%,21.08%,19.68%,24.52%,33.40%,37.51%,30.42%,27.34%,35.96%,35.45%
2,sz.000858,五粮液,10,25.05%,25.30%,24.94%,25.26%,22.91%,19.27%,15.01%,14.93%,15.45%,23.71%
3,sh.600436,片仔癀,10,23.51%,27.68%,23.07%,23.60%,24.98%,21.16%,16.13%,15.39%,16.21%,21.45%
4,sz.002508,老板电器,10,17.13%,15.97%,22.27%,24.63%,26.07%,31.12%,33.07%,29.39%,25.43%,20.50%
5,sz.000999,华润三九,10,15.17%,14.11%,12.15%,18.06%,13.86%,14.11%,14.80%,17.43%,16.05%,20.62%
6,sh.600519,贵州茅台,10,32.41%,29.90%,31.41%,33.12%,34.46%,32.95%,24.44%,26.42%,31.96%,39.43%
7,sz.002032,苏泊尔,10,28.21%,26.23%,26.30%,30.13%,30.07%,26.86%,24.05%,21.66%,19.41%,18.53%
8,sz.002304,洋河股份,10,20.85%,18.54%,19.95%,21.05%,25.70%,23.85%,23.79%,25.15%,24.29%,31.18%
9,sz.000915,华特达因,9,21.82%,18.12%,15.79%,12.26%,8.37%,17.47%,16.63%,14.73%,25.05%,21.87%
10,sz.000568,泸州老窖,9,33.30%,31.13%,28.27%,25.53%,21.69%,19.52%,18.10%,14.74%,8.68%,33.92%
11,sh.600398,海澜之家,9,14.57%,17.37%,13.07%,24.18%,28.63%,31.37%,34.07%,38.53%,51.63%,6.74%
12,sh.601318,中国平安,9,10.03%,12.90%,19.93%,24.30%,20.86%,20.80%,17.39%,17.38%,16.63%,16.45%
13,sh.603369,今世缘,9,24.58%,23.11%,20.25%,21.92%,20.26%,18.14%,17.44%,18.09%,22.14%,
14,sz.002555,三七互娱,8,25.74%,34.21%,42.26%,32.53%,15.53%,28.09%,26.47%,16.30%,2.26%,0.49%
