,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
47,sh.601939,建设银行,8,11.90%,12.22%,11.83%,12.72%,13.56%,14.44%,15.38%,17.05%,19.74%,21.38%
48,sz.002311,海大集团,8,18.30%,11.23%,21.86%,19.57%,20.21%,19.91%,16.07%,16.71%,12.99%,9.89%
49,sz.002555,三七互娱,8,25.74%,34.21%,42.26%,32.53%,15.53%,28.09%,26.47%,16.30%,2.26%,0.49%
50,sz.000002,万科A,8,9.45%,9.78%,20.13%,22.61%,23.42%,22.80%,19.68%,19.24%,19.08%,21.49%
51,sz.000538,云南白药,8,7.82%,7.35%,14.52%,14.50%,17.49%,18.63%,20.03%,22.51%,24.80%,28.92%
52,sz.300347,泰格医药,8,10.64%,16.79%,17.20%,24.42%,18.26%,14.58%,10.70%,16.75%,15.61%,13.12%
53,sz.300014,亿纬锂能,8,14.52%,17.99%,15.07%,27.39%,17.18%,16.05%,13.79%,11.28%,9.05%,19.83%
54,sh.603806,福斯特,8,12.07%,20.72%,20.13%,15.85%,14.20%,11.86%,18.61%,16.04%,15.15%,
55,sz.002064,华峰化学,8,13.49%,51.91%,23.58%,31.85%,12.37%,12.02%,-9.54%,7.82%,16.42%,15.74%
56,sz.002001,新和成,8,15.96%,21.02%,19.70%,13.14%,20.44%,15.48%,15.92%,5.72%,11.90%,13.98%
57,sh.600383,金地集团,8,9.53%,15.62%,18.64%,20.04%,18.57%,17.50%,17.74%,9.83%,13.19%,13.71%
58,sh.601877,正泰电器,8,11.77%,10.98%,23.75%,16.40%,17.25%,17.02%,21.75%,27.36%,32.46%,31.49%
59,sz.300033,同花顺,8,24.65%,32.67%,37.42%,24.49%,19.48%,23.71%,47.70%,57.69%,5.19%,1.94%
60,sh.601216,君正集团,8,17.19%,20.90%,24.27%,14.11%,14.21%,14.60%,12.24%,8.99%,12.40%,9.12%
61,sz.000069,华侨城A,8,-14.53%,4.76%,17.26%,19.32%,19.05%,18.05%,16.84%,14.02%,18.37%,20.14%
62,sh.600900,长江电力,8,11.63%,14.88%,16.35%,14.77%,16.31%,16.91%,18.93%,12.98%,14.40%,11.85%
63,sz.002714,牧原股份,8,21.03%,13.18%,74.68%,34.55%,4.16%,25.71%,50.57%,21.79%,5.00%,26.60%
64,sz.300408,三环集团,8,9.04%,14.89%,15.71%,12.02%,20.46%,19.68%,22.55%,22.15%,24.11%,
65,sz.300450,先导智能,8,22.51%,21.01%,15.51%,19.82%,23.85%,28.85%,34.76%,28.67%,,
66,sz.002027,分众传媒,8,15.79%,34.26%,26.00%,13.40%,47.39%,65.40%,70.71%,133.06%,1.34%,-22.46%
67,sz.300207,欣旺达,7,6.43%,9.23%,12.74%,13.50%,16.97%,20.98%,22.09%,20.04%,12.34%,6.50%
68,sh.601012,隆基绿能,7,27.03%,22.01%,27.27%,23.95%,16.69%,29.35%,19.68%,11.76%,9.50%,2.42%
69,sh.600132,重庆啤酒,7,66.32%,99.69%,107.47%,51.25%,35.00%,27.53%,15.27%,-5.43%,5.22%,10.51%
70,sz.002841,视源股份,7,20.42%,21.85%,31.36%,38.67%,33.98%,36.83%,72.23%,,,
71,sh.600085,同仁堂,7,12.71%,11.99%,10.82%,10.66%,12.83%,12.55%,12.52%,13.85%,14.50%,14.58%
72,sh.601088,中国神华,7,18.07%,13.64%,11.00%,12.73%,13.94%,14.67%,7.51%,5.52%,13.05%,17.39%
73,sz.000338,潍柴动力,7,6.81%,15.16%,19.10%,21.54%,23.23%,20.33%,7.69%,4.33%,16.70%,13.58%
74,sh.600886,国投电力,7,7.70%,4.94%,12.59%,12.18%,12.79%,10.91%,14.17%,21.84%,26.92%,21.50%
75,sz.002241,歌尔股份,7,6.16%,18.20%,15.93%,8.18%,5.77%,16.62%,16.31%,14.11%,22.60%,22.74%
76,sh.601799,星宇股份,7,11.49%,13.78%,21.46%,17.07%,14.55%,12.09%,11.97%,14.38%,14.08%,11.73%
77,sz.300274,阳光电源,7,20.94%,12.12%,20.52%,10.95%,11.05%,15.89%,12.63%,16.42%,12.83%,9.30%
78,sz.002648,卫星化学,7,15.13%,36.41%,14.52%,14.73%,12.35%,17.82%,9.58%,-13.06%,0.90%,14.48%
79,sz.002709,天赐材料,7,58.01%,41.89%,17.26%,0.58%,17.03%,14.63%,28.20%,9.81%,8.82%,15.79%
80,sh.600332,白云山,7,12.98%,13.48%,11.58%,13.90%,16.97%,11.39%,11.69%,16.06%,16.37%,17.94%
81,sh.601155,新城控股,7,2.35%,22.93%,34.28%,36.72%,41.05%,33.99%,22.38%,19.24%,,
82,sh.600585,海螺水泥,7,8.53%,19.26%,23.48%,26.87%,29.51%,19.10%,11.60%,11.00%,17.97%,17.86%
83,sh.601398,工商银行,7,10.68%,11.33%,11.34%,12.47%,13.36%,13.96%,14.80%,16.69%,19.67%,21.90%
84,sz.002049,紫光国微,6,31.06%,32.01%,17.63%,10.17%,9.55%,8.37%,11.08%,12.22%,12.25%,12.57%
85,sz.300122,智飞生物,6,35.99%,78.81%,47.18%,47.67%,40.78%,15.84%,1.30%,8.01%,6.11%,5.47%
86,sh.600196,复星医药,6,8.91%,12.43%,10.63%,11.10%,10.16%,13.15%,13.90%,14.12%,13.20%,14.03%
87,sh.600845,宝信软件,6,23.06%,22.32%,18.13%,12.86%,11.74%,9.52%,8.33%,9.66%,15.20%,18.38%
88,sh.601336,新华保险,6,9.29%,14.22%,15.36%,19.41%,12.25%,8.76%,8.45%,16.20%,14.61%,11.76%
89,sz.002601,龙佰集团,6,17.21%,28.25%,16.31%,19.73%,18.06%,19.84%,6.04%,4.94%,2.88%,1.10%
90,sh.600104,上汽集团,6,5.83%,9.19%,8.02%,10.58%,15.67%,16.49%,17.44%,17.91%,18.94%,19.07%
91,sh.603986,兆易创新,6,14.32%,19.33%,11.06%,17.04%,22.17%,26.19%,19.08%,,,
