,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
220,sz.000733,振华科技,2,27.71%,22.23%,10.67%,5.83%,5.77%,5.01%,4.84%,5.15%,4.63%,4.55%
221,sh.601066,中信建投,2,8.68%,13.88%,15.30%,10.56%,6.76%,,,,,
222,sh.688005,容百科技,2,21.84%,18.38%,4.84%,,,,,,,
223,sh.601808,中海油服,2,6.08%,0.82%,7.19%,7.02%,0.21%,0.09%,-27.96%,2.28%,17.73%,19.35%
224,sh.601117,中国化学,2,10.71%,10.79%,10.05%,9.01%,6.31%,5.58%,6.60%,11.42%,14.16%,17.20%
225,sh.601995,中金公司,2,8.28%,13.81%,12.02%,9.37%,,,,,,
226,sh.601872,招商轮船,2,17.11%,13.89%,10.92%,7.08%,6.58%,3.94%,11.66%,9.70%,2.00%,-19.67%
227,sz.002414,高德红外,2,6.87%,18.68%,25.38%,6.39%,3.96%,1.78%,2.47%,2.58%,2.82%,2.60%
228,sh.600584,长电科技,2,14.16%,17.21%,10.02%,0.71%,-8.64%,4.89%,2.39%,1.29%,5.06%,0.46%
229,sz.000983,山西焦煤,2,36.41%,20.18%,9.99%,8.50%,9.56%,9.14%,2.67%,0.88%,1.71%,6.80%
230,sz.000157,中联重科,2,4.13%,12.10%,17.01%,11.34%,5.33%,3.58%,-2.43%,0.21%,1.44%,9.32%
231,sz.002736,国信证券,2,5.97%,11.38%,9.65%,9.04%,6.55%,9.11%,9.27%,33.75%,18.46%,
232,sz.000166,申万宏源,2,2.93%,10.23%,9.05%,7.52%,6.68%,8.56%,10.55%,33.87%,17.15%,
233,sh.600795,国电电力,2,6.22%,-3.74%,4.93%,3.57%,2.68%,4.30%,9.23%,8.95%,14.21%,17.21%
234,sh.600030,中信证券,2,9.22%,11.82%,8.68%,7.77%,6.20%,7.82%,7.36%,16.62%,12.14%,6.02%
235,sz.000792,盐湖股份,2,90.17%,66.57%,,,-18.65%,-18.58%,1.44%,2.75%,7.64%,6.51%
236,sz.300142,沃森生物,2,8.30%,5.69%,17.58%,3.01%,27.53%,-17.23%,2.57%,-32.55%,5.10%,1.68%
237,sh.601766,中国中车,2,7.68%,7.07%,8.13%,8.92%,9.04%,9.54%,11.20%,17.20%,13.79%,11.95%
238,sh.688008,澜起科技,2,14.20%,10.07%,14.33%,,,,,,,
239,sh.688599,天合光能,1,16.94%,11.21%,9.09%,,,,,,,
240,sh.600999,招商证券,1,7.09%,10.67%,9.95%,8.79%,5.53%,8.32%,9.99%,24.27%,11.21%,8.43%
241,sh.601901,方正证券,1,5.09%,4.50%,2.81%,2.64%,1.76%,3.99%,7.30%,12.45%,7.84%,7.40%
242,sz.000301,东方盛虹,1,1.73%,20.12%,2.00%,11.97%,10.24%,6.48%,4.40%,5.26%,7.40%,11.68%
243,sh.600837,海通证券,1,3.99%,8.10%,7.78%,7.81%,4.42%,7.56%,7.39%,17.99%,11.87%,6.71%
244,sh.600958,东方证券,1,4.25%,8.64%,4.77%,4.61%,2.35%,7.60%,6.13%,27.48%,,
245,sh.601985,中国核电,1,10.94%,10.97%,9.95%,9.56%,10.54%,10.69%,11.47%,12.59%,,
246,sh.600061,国投资本,1,5.85%,10.09%,9.80%,7.86%,4.62%,8.11%,9.49%,33.42%,1.02%,1.07%
247,sz.003816,中国广核,1,9.58%,9.92%,10.33%,11.76%,12.80%,,,,,
248,sh.601688,华泰证券,1,7.05%,9.62%,8.60%,7.97%,5.28%,10.81%,7.59%,17.52%,11.65%,6.33%
249,sh.688223,晶科能源,1,14.59%,8.76%,,,,,,,,
250,sh.601788,光大证券,1,5.23%,6.32%,4.67%,1.20%,0.22%,6.30%,6.87%,23.07%,8.50%,0.91%
251,sz.002371,北方华创,1,12.84%,9.10%,8.50%,6.57%,6.82%,3.87%,3.67%,2.09%,2.29%,5.79%
252,sh.600547,山东黄金,1,4.01%,-0.67%,8.70%,5.76%,4.62%,7.14%,10.27%,6.22%,9.41%,14.02%
253,sz.000425,徐工机械,1,9.60%,16.01%,11.15%,11.44%,7.56%,4.59%,1.02%,0.25%,2.09%,8.19%
254,sz.000617,中油资本,1,5.22%,6.09%,9.05%,9.66%,9.72%,9.97%,16.68%,-13.53%,-17.60%,1.40%
255,sz.000725,京东方A,1,5.41%,20.98%,5.08%,2.12%,4.03%,9.26%,2.41%,2.13%,4.91%,8.69%
256,sh.600028,中国石化,1,8.50%,9.38%,4.44%,7.90%,8.73%,7.10%,6.69%,5.07%,8.14%,12.40%
257,sh.601211,国泰君安,1,7.55%,10.56%,8.09%,6.62%,5.44%,8.86%,10.08%,22.86%,,
258,sh.600926,杭州银行,1,12.38%,10.84%,9.95%,11.03%,9.93%,10.07%,11.42%,,,
259,sh.600875,东方电气,1,8.46%,7.22%,6.17%,4.40%,4.48%,3.13%,-8.07%,2.06%,6.87%,14.08%
260,sh.600025,华能水电,1,10.30%,9.27%,8.29%,11.17%,13.87%,5.99%,,,,
261,sh.601319,中国人保,1,11.08%,10.27%,10.42%,13.35%,9.30%,,,,,
262,sh.688012,中微公司,1,7.95%,11.05%,12.12%,,,,,,,
263,sh.600745,闻泰科技,0,4.19%,8.32%,9.61%,10.12%,1.71%,8.38%,1.12%,-4.26%,0.98%,6.50%
264,sh.601816,京沪高铁,0,-0.31%,2.60%,1.89%,7.78%,,,,,,
265,sh.600918,中泰证券,0,1.60%,9.27%,7.52%,6.86%,,,,,,
266,sh.688981,中芯国际,0,10.00%,10.30%,6.07%,,,,,,,
267,sh.688561,奇安信,0,0.57%,-5.57%,-4.45%,,,,,,,
268,sh.601607,上海医药,0,9.65%,10.76%,10.33%,10.12%,10.63%,10.72%,10.39%,9.96%,9.64%,8.87%
269,sh.688187,时代电气,0,7.61%,7.15%,10.82%,,,,,,,
270,sz.300999,金龙鱼,0,3.43%,4.85%,8.09%,8.72%,,,,,,
271,sh.601600,中国铝业,0,7.51%,9.10%,1.36%,1.59%,1.89%,3.55%,1.05%,0.61%,-44.65%,2.15%
272,sh.601868,中国能建,0,7.96%,8.00%,7.38%,,,,,,,
273,sh.600941,中国移动,0,10.31%,10.15%,,,,,,,,
274,sh.601857,中国石油,0,11.34%,7.43%,1.55%,3.74%,4.37%,1.91%,0.67%,3.03%,9.28%,11.80%
275,sz.000938,紫光股份,0,6.98%,7.19%,6.54%,6.73%,6.59%,6.44%,6.22%,7.31%,8.99%,10.27%
276,sh.600150,中国船舶,0,0.37%,0.47%,1.00%,2.65%,3.54%,-16.71%,-16.04%,0.35%,0.25%,0.23%
277,sh.600010,包钢股份,0,-1.36%,5.31%,0.77%,1.27%,6.53%,4.27%,0.18%,-10.01%,1.06%,1.57%
278,sh.601390,中国中铁,0,10.85%,10.41%,10.57%,11.46%,9.91%,10.87%,9.23%,10.69%,11.18%,11.36%
279,sh.601881,中国银河,0,7.70%,11.58%,9.52%,7.64%,4.42%,6.50%,8.97%,,,
280,sh.601111,中国国航,0,-90.86%,-23.95%,-16.84%,6.86%,8.18%,9.34%,10.59%,11.87%,6.97%,6.34%
281,sh.601698,中国卫通,0,6.79%,4.85%,4.27%,4.24%,4.39%,,,,,
282,sh.601236,红塔证券,0,0.17%,8.36%,10.17%,6.79%,3.48%,,,,,
283,sh.601658,邮储银行,0,10.53%,10.39%,10.56%,11.97%,11.56%,,,,,
284,sh.688126,沪硅产业,0,2.63%,1.47%,1.20%,,,,,,,
285,sh.688065,凯赛生物,0,5.12%,5.78%,6.09%,,,,,,,
286,sh.600905,三峡能源,0,9.81%,10.19%,8.98%,,,,,,,
287,sh.601728,中国电信,0,6.41%,6.55%,5.83%,,,,,,,
288,sz.001289,龙源电力,0,7.74%,10.55%,,,,,,,,
289,sz.002230,科大讯飞,0,3.38%,10.57%,11.32%,8.45%,6.91%,5.88%,7.27%,8.53%,10.81%,11.99%
290,sh.600754,锦江酒店,0,0.68%,0.69%,0.85%,8.44%,8.45%,6.84%,6.59%,7.51%,7.47%,8.79%
291,sh.601989,中国重工,0,-2.68%,0.26%,-0.56%,0.59%,0.91%,1.39%,1.23%,-4.47%,4.21%,6.55%
292,sz.300223,北京君正,0,7.33%,10.02%,1.55%,4.93%,1.19%,0.58%,0.64%,2.99%,-0.94%,2.37%
293,sh.601618,中国中冶,0,8.99%,8.16%,8.03%,7.26%,7.66%,7.92%,8.20%,8.90%,8.63%,6.96%
294,sh.600219,南山铝业,0,7.99%,8.19%,5.14%,4.19%,4.05%,5.00%,4.74%,2.68%,5.15%,4.66%
295,sh.600362,江西铜业,0,8.36%,8.69%,4.12%,4.81%,5.03%,3.41%,1.70%,1.39%,6.32%,8.16%
296,sz.000768,中航西飞,0,3.28%,4.21%,4.88%,3.49%,3.51%,3.03%,2.70%,2.94%,3.00%,3.04%
297,sh.601878,浙商证券,0,6.62%,10.17%,9.51%,6.79%,5.42%,9.22%,,,,
298,sh.600893,航发动力,0,3.34%,3.23%,3.54%,3.91%,4.07%,4.64%,5.81%,7.05%,10.00%,7.58%
299,sh.600050,中国联通,0,4.81%,4.25%,3.79%,3.52%,2.96%,0.40%,0.20%,4.45%,5.23%,4.68%
