,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
0,sz.000733,振华科技,-46.25%,-0.80%,-19.37%,-29.31%,-28.50%,-51.16%
1,sz.000988,华工科技,55.48%,-10.14%,-20.65%,-28.29%,-20.44%,34.57%
2,sz.002761,浙江建投,-41.01%,6.53%,-8.99%,-24.93%,-26.72%,-39.09%
3,sz.002555,三七互娱,5.18%,-5.16%,-9.31%,-24.75%,-36.49%,37.93%
4,sz.002738,中矿资源,-51.33%,-2.24%,-5.66%,-23.76%,-54.16%,-60.54%
5,sz.000400,许继电气,-17.58%,-2.46%,-7.88%,-23.49%,-24.13%,-6.52%
6,sh.600976,健民集团,11.58%,-5.11%,-9.11%,-19.74%,-13.19%,7.44%
7,sz.002135,东南网架,-11.77%,1.81%,-2.43%,-18.55%,-13.14%,-17.23%
8,sh.600600,青岛啤酒,-23.71%,-2.38%,-10.30%,-18.53%,-31.31%,-14.01%
9,sh.600765,中航重机,-35.85%,0.15%,-18.23%,-18.43%,-20.54%,-41.06%
10,sh.600039,四川路桥,-27.26%,1.15%,-6.14%,-17.79%,-49.84%,-30.57%
11,sz.000729,燕京啤酒,-8.79%,0.00%,-6.35%,-15.11%,-27.88%,4.54%
12,sh.600438,通威股份,-25.21%,-4.99%,-6.52%,-14.85%,-27.29%,-38.86%
13,sz.002541,鸿路钢构,-10.28%,-3.63%,-3.80%,-14.55%,-15.96%,-11.97%
14,sh.600378,昊华科技,-25.17%,-5.04%,-6.79%,-14.52%,-21.00%,-27.94%
15,sz.002262,恩华药业,-6.95%,-6.16%,-10.76%,-14.14%,-18.01%,18.45%
16,sz.000568,泸州老窖,-6.28%,0.90%,-8.54%,-14.06%,-8.92%,17.09%
17,sz.002046,国机精工,-12.80%,-2.70%,-9.19%,-13.77%,-12.65%,-27.33%
18,sh.600582,天地科技,-6.59%,-2.36%,-8.66%,-13.74%,-9.16%,-3.88%
19,sz.002060,粤水电,-20.23%,7.54%,1.46%,-12.85%,-16.52%,-17.26%
20,sh.600436,片仔癀,-13.60%,-2.22%,-11.26%,-12.76%,-9.80%,7.58%
21,sz.300035,中科电气,-50.53%,-0.48%,-2.74%,-11.91%,-16.29%,-48.37%
22,sh.600395,盘江股份,-8.14%,-0.16%,-2.51%,-11.91%,-8.41%,-19.14%
23,sz.002179,中航光电,-32.78%,1.83%,-3.14%,-10.00%,-27.05%,-40.10%
24,sz.002371,北方华创,7.69%,1.55%,5.54%,-9.43%,-25.86%,-5.23%
25,sz.300244,迪安诊断,-13.92%,-4.54%,-8.37%,-9.25%,-19.17%,-24.05%
26,sh.600519,贵州茅台,-3.04%,-2.92%,-8.45%,-8.73%,-4.72%,13.36%
27,sh.600007,中国国贸,16.06%,1.13%,-4.15%,-8.15%,0.97%,40.75%
28,sz.002469,三维化学,-6.79%,1.44%,-2.60%,-7.86%,-18.17%,-30.67%
29,sh.600803,新奥股份,6.80%,1.66%,1.78%,-7.51%,-15.71%,1.91%
30,sz.300363,博腾股份,-36.15%,-7.74%,0.81%,-6.78%,-23.94%,-40.58%
31,sh.600036,招商银行,-16.39%,-3.29%,-4.79%,-6.65%,-6.49%,11.46%
32,sh.600323,瀚蓝环境,-4.65%,-0.85%,-0.68%,-6.39%,-13.29%,-9.65%
33,sh.600690,海尔智家,-9.15%,-4.36%,-7.79%,-6.27%,-6.58%,0.27%
34,sh.601899,紫金矿业,14.72%,0.83%,-5.33%,-6.21%,-5.85%,52.91%
35,sh.600008,首创环保,-4.17%,0.73%,-2.82%,-6.12%,-8.00%,2.99%
36,sh.600298,安琪酵母,-22.07%,3.44%,0.09%,-5.69%,-14.30%,-12.66%
37,sz.002040,南京港,-8.90%,-0.30%,-3.76%,-5.00%,-6.86%,-0.60%
38,sh.600655,豫园股份,-7.32%,-1.83%,-6.95%,-4.53%,-13.00%,10.65%
39,sz.002028,思源电气,22.35%,-0.19%,-1.07%,-2.97%,5.07%,33.73%
40,sz.000987,越秀资本,10.13%,-0.90%,-1.92%,-1.49%,-3.77%,20.33%
41,sh.603998,方盛制药,14.76%,-0.49%,4.98%,-0.98%,-26.26%,43.40%
42,sh.600153,建发股份,-31.21%,4.40%,-4.42%,-0.82%,-19.87%,-26.31%
43,sz.002078,太阳纸业,1.84%,-3.73%,-3.57%,-0.77%,2.11%,1.13%
44,sh.600210,紫江企业,1.97%,-0.38%,-3.90%,-0.58%,-2.63%,7.02%
45,sh.600015,华夏银行,7.29%,-2.61%,-2.44%,-0.53%,-2.95%,15.02%
46,sz.002328,新朋股份,20.70%,-1.44%,0.00%,-0.16%,2.15%,8.80%
47,sz.300059,东方财富,-22.63%,-0.73%,-1.91%,1.64%,-7.33%,-4.05%
48,sh.601717,郑煤机,9.90%,0.24%,-2.01%,3.35%,-10.92%,-8.93%
49,sh.600985,淮北矿业,7.90%,1.36%,2.31%,15.92%,4.49%,-2.74%
